         5.1x5.0E-3               (51x50E-3.dat)                               09/10/18                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.2107      0.1439       0.000       0.003       0.005              
         0.2        0.04      0.0596      0.2107      0.1468       0.000       0.003       0.005              
         0.4        0.08      0.1167      0.2105      0.1498       0.000       0.003       0.005              
         0.6        0.12      0.1714      0.2104      0.1528       0.000       0.003       0.005              
         0.8        0.17      0.2237      0.2101      0.1559       0.000       0.003       0.005              
         1.0        0.21      0.2737      0.2097      0.1590       0.000       0.003       0.005              
         1.2        0.25      0.3213      0.2090      0.1620       0.000       0.003       0.005              
         1.4        0.29      0.3668      0.2079      0.1647       0.000       0.003       0.004              
         1.6        0.33      0.4100      0.2063      0.1671       0.000       0.003       0.004              
         1.8        0.37      0.4510      0.2041      0.1690       0.000       0.003       0.004              
         2.0        0.42      0.4899      0.2011      0.1704       0.000       0.003       0.004              
         2.2        0.46      0.5266      0.1972      0.1709       0.000       0.003       0.004              
         2.4        0.50      0.5611      0.1922      0.1707       0.000       0.003       0.004              
         2.6        0.54      0.5932      0.1862      0.1694       0.000       0.003       0.004              
         2.8        0.58      0.6229      0.1789      0.1669       0.000       0.003       0.004              
         3.0        0.62      0.6498      0.1698      0.1627       0.000       0.003       0.004              
         3.2        0.66      0.6736      0.1594      0.1571       0.000       0.003       0.003              
         3.4        0.71      0.6941      0.1487      0.1512       0.000       0.003       0.003              
         3.6        0.75      0.7112      0.1377      0.1446       0.000       0.003       0.003              
         3.8        0.79      0.7248      0.1264      0.1375       0.000       0.002       0.003              
         4.0        0.83      0.7339      0.1147      0.1297       0.000       0.002       0.002              
         4.2        0.87      0.7387      0.1028      0.1213       0.000       0.002       0.002              
         4.4        0.91      0.7404      0.0907      0.1118       0.000       0.002       0.002              
         4.6        0.95      0.7389      0.0783      0.1012       0.000       0.002       0.002              
         4.8        1.00      0.7324      0.0659      0.0896       0.000       0.002       0.001              
         5.0        1.04      0.7187      0.0532      0.0768       0.000       0.001       0.001              
         5.2        1.08      0.6882      0.0404      0.0633       0.000       0.001       0.001              
         5.4        1.12      0.6222      0.0272      0.0490       0.000       0.001       0.001              
         5.6        1.16      0.4685      0.0138      0.0342       0.000       0.001       0.000              
         5.8        1.20     -0.0025      0.0000      0.0191       0.000       0.000       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       2000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.2107      0.1440       0.000       0.010       0.018              
         0.4        0.04      0.0595      0.2107      0.1468       0.000       0.010       0.018              
         0.8        0.08      0.1165      0.2106      0.1498       0.000       0.010       0.018              
         1.2        0.12      0.1711      0.2104      0.1529       0.000       0.011       0.018              
         1.6        0.17      0.2234      0.2101      0.1559       0.000       0.011       0.018              
         2.0        0.21      0.2733      0.2097      0.1590       0.000       0.011       0.018              
         2.4        0.25      0.3209      0.2090      0.1620       0.000       0.011       0.018              
         2.8        0.29      0.3663      0.2080      0.1647       0.000       0.012       0.018              
         3.2        0.33      0.4095      0.2064      0.1671       0.000       0.012       0.018              
         3.6        0.37      0.4505      0.2042      0.1691       0.000       0.012       0.018              
         4.0        0.41      0.4893      0.2012      0.1704       0.000       0.012       0.017              
         4.4        0.46      0.5260      0.1973      0.1710       0.000       0.012       0.017              
         4.8        0.50      0.5605      0.1924      0.1707       0.000       0.012       0.017              
         5.2        0.54      0.5926      0.1864      0.1695       0.000       0.012       0.016              
         5.6        0.58      0.6223      0.1791      0.1670       0.000       0.012       0.015              
         6.0        0.62      0.6493      0.1700      0.1628       0.000       0.011       0.015              
         6.4        0.66      0.6732      0.1597      0.1573       0.000       0.011       0.014              
         6.8        0.70      0.6937      0.1490      0.1513       0.000       0.011       0.013              
         7.2        0.75      0.7109      0.1380      0.1448       0.000       0.010       0.012              
         7.6        0.79      0.7245      0.1267      0.1377       0.000       0.010       0.011              
         8.0        0.83      0.7338      0.1151      0.1300       0.000       0.009       0.010              
         8.4        0.87      0.7386      0.1032      0.1216       0.000       0.009       0.009              
         8.8        0.91      0.7404      0.0911      0.1121       0.000       0.008       0.008              
         9.2        0.95      0.7390      0.0788      0.1016       0.000       0.007       0.007              
         9.6        0.99      0.7327      0.0663      0.0900       0.000       0.006       0.006              
        10.0        1.04      0.7192      0.0536      0.0772       0.000       0.005       0.005              
        10.4        1.08      0.6891      0.0406      0.0635       0.000       0.004       0.004              
        10.8        1.12      0.6234      0.0274      0.0492       0.000       0.003       0.002              
        11.2        1.16      0.4700      0.0139      0.0342       0.000       0.002       0.001              
        11.6        1.20     -0.0001      0.0000      0.0190       0.000       0.001       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
