         5.25x5.5E                (525x55E.dat)                                09/10/18                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1156      0.0757       0.000       0.002       0.003              
         0.2        0.05      0.0681      0.1156      0.0775       0.000       0.002       0.003              
         0.5        0.09      0.1330      0.1157      0.0794       0.000       0.002       0.003              
         0.7        0.14      0.1946      0.1158      0.0815       0.000       0.002       0.003              
         0.9        0.18      0.2530      0.1160      0.0837       0.000       0.002       0.003              
         1.1        0.23      0.3083      0.1162      0.0860       0.000       0.002       0.003              
         1.4        0.27      0.3605      0.1165      0.0885       0.000       0.002       0.003              
         1.6        0.32      0.4098      0.1169      0.0911       0.000       0.002       0.003              
         1.8        0.37      0.4562      0.1171      0.0938       0.000       0.002       0.003              
         2.0        0.41      0.5000      0.1173      0.0964       0.000       0.002       0.003              
         2.3        0.46      0.5412      0.1173      0.0990       0.000       0.002       0.003              
         2.5        0.50      0.5796      0.1170      0.1014       0.000       0.002       0.003              
         2.7        0.55      0.6152      0.1162      0.1034       0.000       0.002       0.003              
         2.9        0.59      0.6480      0.1147      0.1050       0.000       0.002       0.003              
         3.2        0.64      0.6783      0.1127      0.1061       0.000       0.002       0.003              
         3.4        0.68      0.7062      0.1100      0.1066       0.000       0.002       0.003              
         3.6        0.73      0.7312      0.1063      0.1062       0.000       0.002       0.003              
         3.9        0.78      0.7535      0.1013      0.1043       0.000       0.002       0.002              
         4.1        0.82      0.7723      0.0939      0.0999       0.000       0.002       0.002              
         4.3        0.87      0.7861      0.0862      0.0951       0.000       0.002       0.002              
         4.5        0.91      0.7958      0.0782      0.0898       0.000       0.002       0.002              
         4.8        0.96      0.7996      0.0701      0.0840       0.000       0.002       0.002              
         5.0        1.00      0.7987      0.0618      0.0776       0.000       0.002       0.001              
         5.2        1.05      0.7939      0.0533      0.0705       0.000       0.001       0.001              
         5.4        1.10      0.7844      0.0447      0.0624       0.000       0.001       0.001              
         5.7        1.14      0.7692      0.0361      0.0535       0.000       0.001       0.001              
         5.9        1.19      0.7407      0.0274      0.0438       0.000       0.001       0.001              
         6.1        1.23      0.6796      0.0184      0.0334       0.000       0.001       0.000              
         6.4        1.28      0.5240      0.0093      0.0228       0.000       0.000       0.000              
         6.6        1.32     -0.0021      0.0000      0.0119       0.000       0.000       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       2000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1156      0.0756       0.000       0.006       0.011              
         0.5        0.05      0.0680      0.1156      0.0774       0.000       0.006       0.011              
         0.9        0.09      0.1329      0.1157      0.0794       0.000       0.006       0.011              
         1.4        0.14      0.1945      0.1158      0.0814       0.000       0.007       0.011              
         1.8        0.18      0.2529      0.1160      0.0836       0.000       0.007       0.011              
         2.3        0.23      0.3081      0.1162      0.0860       0.000       0.007       0.011              
         2.7        0.27      0.3603      0.1165      0.0884       0.000       0.007       0.011              
         3.2        0.32      0.4095      0.1169      0.0911       0.000       0.007       0.011              
         3.6        0.36      0.4560      0.1172      0.0937       0.000       0.008       0.011              
         4.1        0.41      0.4997      0.1173      0.0963       0.000       0.008       0.011              
         4.5        0.46      0.5407      0.1173      0.0989       0.000       0.008       0.011              
         5.0        0.50      0.5791      0.1171      0.1013       0.000       0.008       0.011              
         5.4        0.55      0.6148      0.1162      0.1034       0.000       0.008       0.011              
         5.9        0.59      0.6476      0.1148      0.1050       0.000       0.008       0.011              
         6.3        0.64      0.6779      0.1128      0.1061       0.000       0.009       0.011              
         6.8        0.68      0.7056      0.1101      0.1067       0.000       0.009       0.011              
         7.3        0.73      0.7307      0.1065      0.1063       0.000       0.009       0.010              
         7.7        0.77      0.7530      0.1015      0.1044       0.000       0.008       0.010              
         8.2        0.82      0.7717      0.0943      0.1002       0.000       0.008       0.009              
         8.6        0.87      0.7858      0.0865      0.0954       0.000       0.008       0.008              
         9.1        0.91      0.7956      0.0786      0.0900       0.000       0.007       0.008              
         9.5        0.96      0.7996      0.0704      0.0843       0.000       0.007       0.007              
        10.0        1.00      0.7988      0.0621      0.0779       0.000       0.006       0.006              
        10.4        1.05      0.7942      0.0536      0.0707       0.000       0.006       0.005              
        10.9        1.09      0.7847      0.0450      0.0627       0.000       0.005       0.004              
        11.3        1.14      0.7695      0.0362      0.0537       0.000       0.004       0.004              
        11.8        1.18      0.7410      0.0274      0.0439       0.000       0.004       0.003              
        12.2        1.23      0.6802      0.0185      0.0334       0.000       0.003       0.002              
        12.7        1.28      0.5249      0.0094      0.0227       0.000       0.002       0.001              
        13.1        1.32     -0.0017      0.0000      0.0119       0.000       0.001       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
